Metric,SPY,Strategy
Risk-Free Rate,5.13%,5.13%
Time in Market,69.0%,41.0%
,,
Total Return,79%,586%
CAGR% (Annual Return),13.92%,53.61%
,,
Sharpe,0.48,0.92
RoMaD,0.41,0.78
Corr to Benchmark,1.0,-0.17
Prob. Sharpe Ratio,28.63%,52.55%
Smart Sharpe,0.46,0.88
Sortino,0.67,1.56
Smart Sortino,0.64,1.49
Sortino/√2,0.47,1.1
Smart Sortino/√2,0.45,1.05
Omega,1.3,1.3
,,
Max Drawdown,-33.68%,-68.94%
Longest DD Days,708,768
Volatility (ann.),21.63%,59.19%
R^2,0.03,0.03
Information Ratio,0.04,0.04
Calmar,0.41,0.78
Skew,-0.59,2.65
Kurtosis,17.52,39.64
,,
Expected Daily%,0.04%,0.12%
Expected Monthly%,1.09%,3.63%
Expected Yearly%,12.41%,47.0%
Daily Value-at-Risk,-1.82%,-4.93%
Expected Shortfall (cVaR),-1.82%,-4.93%
,,
MTD,-0.61%,-0.84%
3M,6.61%,35.06%
6M,11.03%,73.62%
YTD,15.41%,120.72%
1Y,20.3%,155.39%
3Y (ann.),8.05%,53.96%
5Y (ann.),13.92%,53.61%
10Y (ann.),13.92%,53.61%
All-time (ann.),13.92%,53.61%
,,
Best Day,9.06%,37.47%
Worst Day,-10.94%,-26.38%
Best Month,12.7%,87.58%
Worst Month,-12.44%,-44.83%
Best Year,28.77%,120.72%
Worst Year,-18.16%,-2.5%
,,
Avg. Drawdown,-1.99%,-13.48%
Avg. Drawdown Days,19,75
Recovery Factor,2.05,3.89
Ulcer Index,0.1,0.3
Serenity Index,0.4,0.53
,,
Avg. Up Month,4.71%,16.01%
Avg. Down Month,-3.48%,-8.59%
Win Days,890.03,852.97
Loss Days,748.97,786.03
Win Days%,54.3%,52.04%
Win Month%,64.81%,51.16%
Win Quarter%,68.42%,47.06%
Win Year%,80.0%,80.0%
,,
Beta,-,-0.46
Alpha,-,0.67
Correlation,-,-16.84%
Treynor Ratio,-,-1261.29%
