time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTRADER,45074d5b7bbb4dd7a822fe4cbaaa30ad,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTRADER,45074d5b7bbb4dd7a822fe4cbaaa30ad,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTRADER,6eeceac6507049718cf22966ac570260,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTRADER,6eeceac6507049718cf22966ac570260,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTRADER,9815d282bb31400eb8c3735eaf746dcd,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTRADER,9815d282bb31400eb8c3735eaf746dcd,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTRADER,dd48a553a6f04746ad2a951244173117,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTRADER,dd48a553a6f04746ad2a951244173117,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,MLTRADER,143408178cdb411a902626fb126ed87c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTRADER,143408178cdb411a902626fb126ed87c,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,890.0,0.0
2020-03-11 09:30:00-04:00,MLTRADER,d89d0fc450034a6981e811f13f87cf69,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTRADER,685ea280dcce4bd9844b89631d6733e6,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-11 09:30:00-04:00,MLTRADER,4d9d26337b634063aad6ec2d9cd189ec,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTRADER,70b7eaebf3e843608c765679a4838e81,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-11 09:30:00-04:00,MLTRADER,0c60a525285d4d0fb198465b6633ec8b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTRADER,aed47250295e43c0a551a48745c8f00c,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-17 09:30:00-04:00,MLTRADER,20fbf56a69e94c09bb84873ac5b76691,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,MLTRADER,ccad70077964443f88f70788c2420daa,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-04-13 09:30:00-04:00,MLTRADER,265eadc3ce1f4421b7d25acba91b7861,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTRADER,265eadc3ce1f4421b7d25acba91b7861,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,785.0,0.0
2020-04-27 09:30:00-04:00,MLTRADER,b08c965cbe2b4b1e8ae662a227c69726,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
