Metric,SPY,Strategy
Risk-Free Rate,5.13%,5.13%
Time in Market,69.0%,22.0%
,,
Total Return,15%,1%
CAGR% (Annual Return),28.44%,2.03%
,,
Sharpe,1.86,-0.65
RoMaD,5.31,1.4
Corr to Benchmark,1.0,0.29
Prob. Sharpe Ratio,83.42%,35.21%
Smart Sharpe,1.71,-0.6
Sortino,2.78,-0.9
Smart Sortino,2.56,-0.83
Sortino/√2,1.96,-0.63
Smart Sortino/√2,1.81,-0.59
Omega,0.84,0.84
,,
Max Drawdown,-5.35%,-1.45%
Longest DD Days,47,118
Volatility (ann.),11.06%,4.48%
R^2,0.08,0.08
Information Ratio,-0.11,-0.11
Calmar,5.31,1.4
Skew,-0.29,-0.47
Kurtosis,2.13,12.48
,,
Expected Daily%,0.07%,0.01%
Expected Monthly%,2.01%,0.16%
Expected Yearly%,14.93%,1.12%
Daily Value-at-Risk,-0.88%,-0.38%
Expected Shortfall (cVaR),-0.88%,-0.38%
,,
MTD,-0.61%,0.0%
3M,6.61%,0.3%
6M,11.03%,1.73%
YTD,14.93%,1.12%
1Y,14.93%,1.12%
3Y (ann.),28.44%,2.03%
5Y (ann.),28.44%,2.03%
10Y (ann.),28.44%,2.03%
All-time (ann.),28.44%,2.03%
,,
Best Day,2.07%,1.12%
Worst Day,-2.27%,-1.31%
Best Month,5.22%,1.31%
Worst Month,-3.86%,-0.6%
Best Year,14.93%,1.12%
Worst Year,14.93%,1.12%
,,
Avg. Drawdown,-1.21%,-0.73%
Avg. Drawdown Days,8,26
Recovery Factor,2.66,0.81
Ulcer Index,0.02,0.01
Serenity Index,1.12,-0.6
,,
Avg. Up Month,4.02%,0.77%
Avg. Down Month,-3.86%,-0.56%
Win Days,119.49,106.64
Loss Days,84.51,97.36
Win Days%,58.57%,52.27%
Win Month%,71.43%,60.0%
Win Quarter%,66.67%,50.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.12
Alpha,-,-0.01
Correlation,-,28.9%
Treynor Ratio,-,-34.24%
