time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTRADER,9ca75347e5924a59ac51a025cfdb642f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTRADER,9ca75347e5924a59ac51a025cfdb642f,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-04 09:30:00-05:00,MLTRADER,d9f3e31bcfd34093aeb941468108d604,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-04 09:30:00-05:00,MLTRADER,63f68358b06d4f91ad0c224e3d6fa0a9,SPY,buy,stop,fill,1,day,0.0,1,stock,328.07000732421875,155.0,0.0
2020-02-10 09:30:00-05:00,MLTRADER,365b63a152314ab48856de7395f7998c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTRADER,365b63a152314ab48856de7395f7998c,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,150.0,0.0
2020-02-11 09:30:00-05:00,MLTRADER,0e227b1fe27d47f39d700f3b70c606a8,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-11 09:30:00-05:00,MLTRADER,fa1ceea7ed2b4b98b609084241c0d389,SPY,buy,stop,fill,1,day,0.0,1,stock,336.1600036621094,150.0,0.0
2020-02-13 09:30:00-05:00,MLTRADER,8663ec5d2d494b8daf84aa582ec1ab73,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTRADER,8663ec5d2d494b8daf84aa582ec1ab73,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,147.0,0.0
2020-02-14 09:30:00-05:00,MLTRADER,12df392cc5a94405a0e137d7278b47fd,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-14 09:30:00-05:00,MLTRADER,77860fe060304c878813276bbb6bda61,SPY,buy,stop,fill,1,day,0.0,1,stock,337.510009765625,147.0,0.0
2020-03-06 09:30:00-05:00,MLTRADER,c70655d96e48416098fd63eb48d2faac,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTRADER,c70655d96e48416098fd63eb48d2faac,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-07 09:30:00-05:00,MLTRADER,be4b19ffe2424c62ad112d75cf91ca65,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-07 09:30:00-05:00,MLTRADER,e029e4d2d27e4b3b8a59898fdceae554,SPY,buy,stop,fill,1,day,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-09 09:30:00-04:00,MLTRADER,7c4d4ded5344414fa16d35ff14b2b750,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTRADER,7c4d4ded5344414fa16d35ff14b2b750,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,173.0,0.0
2020-03-10 09:30:00-04:00,MLTRADER,12347ae900964c5da6eadc74f2be2fe7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-10 09:30:00-04:00,MLTRADER,a905d2b3a29d477f9ddeb08a58f31630,SPY,buy,stop,fill,1,day,0.0,1,stock,280.70001220703125,173.0,0.0
2020-04-13 09:30:00-04:00,MLTRADER,41653530bcdf461badcffa25af255054,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTRADER,41653530bcdf461badcffa25af255054,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,176.0,0.0
2020-04-14 09:30:00-04:00,MLTRADER,2213f72abc3845839aea3149a7542d4e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-14 09:30:00-04:00,MLTRADER,ec521f82b03c4cb48293a81cabef5c34,SPY,buy,stop,fill,1,day,0.0,1,stock,277.57000732421875,176.0,0.0
2020-04-27 09:30:00-04:00,MLTRADER,b30ad6fb368a46449f9c13ce6dc6dbeb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTRADER,b30ad6fb368a46449f9c13ce6dc6dbeb,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,171.0,0.0
2020-05-13 09:30:00-04:00,MLTRADER,0c9635ee56df4f21b65fd102b0c1476a,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,MLTRADER,fa0e1e599658469bbaa9607549788f21,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,171.0,0.0
2020-06-15 09:30:00-04:00,MLTRADER,3a9e2f6e3e80494398f759a189086904,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTRADER,3a9e2f6e3e80494398f759a189086904,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,154.0,0.0
2020-06-16 09:30:00-04:00,MLTRADER,4975c744d05a49dcb8ad98056f42d807,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,MLTRADER,beadde2afce647d7bc16b54291d222dc,SPY,buy,stop,fill,1,day,0.0,1,stock,314.07000732421875,154.0,0.0
2020-06-22 09:30:00-04:00,MLTRADER,39409bfcddc5435db2df1ad8caa76a41,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTRADER,39409bfcddc5435db2df1ad8caa76a41,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,155.0,0.0
2020-06-23 09:30:00-04:00,MLTRADER,80df389316c64ec0b3201b839ae9351c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-23 09:30:00-04:00,MLTRADER,10c7ac39c6644c639e90b2e0b0f6f286,SPY,buy,stop,fill,1,day,0.0,1,stock,309.8399963378906,155.0,0.0
2020-06-25 09:30:00-04:00,MLTRADER,a261a88967ba4aad90f9d3650300b3da,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTRADER,a261a88967ba4aad90f9d3650300b3da,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,160.0,0.0
2020-08-05 09:30:00-04:00,MLTRADER,cd3799fcecf04d2f82314e6d2df62283,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTRADER,cd3799fcecf04d2f82314e6d2df62283,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,74.0,0.0
2020-09-14 09:30:00-04:00,MLTRADER,5f5350388c4d4995bcfe99221a53fbe1,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,4f6f3495720647a8882d20aa3a586496,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,3a552522ccb34ab88d5a6f89bbf8067d,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,9cce1ce28f5a404f80b93e254402c80b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,7ce32e6233db4cd6b28336f6fc50e2c8,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,c74b4a844e984f3b9c2b328bde7d4be4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,7ce32e6233db4cd6b28336f6fc50e2c8,SPY,sell,market,fill,1,day,0.0,1,stock,341.1199951171875,234.0,0.0
2020-09-14 09:30:00-04:00,MLTRADER,c74b4a844e984f3b9c2b328bde7d4be4,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.1199951171875,36.0,0.0
2020-09-15 09:30:00-04:00,MLTRADER,7a2f26085ef14ead972001ade5747103,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTRADER,0b209e7f13d148afbb3b575c15eeedfe,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTRADER,6902e7c982fa4a06aad53e6ac102b709,SPY,buy,stop,fill,1,day,0.0,1,stock,341.510009765625,36.0,0.0
2020-09-15 09:30:00-04:00,MLTRADER,7a2f26085ef14ead972001ade5747103,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.510009765625,170.0,0.0
2020-09-16 09:30:00-04:00,MLTRADER,67c6384cc7534a57b7438ec52881a163,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-09-16 09:30:00-04:00,MLTRADER,9a067832b631463797f2fd608d1ea886,SPY,buy,stop,fill,1,day,0.0,1,stock,333.55999755859375,170.0,0.0
2021-07-16 09:30:00-04:00,MLTRADER,c59bc589c2c0420eab06a4374875e6e2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTRADER,c59bc589c2c0420eab06a4374875e6e2,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,121.0,0.0
2021-07-17 09:30:00-04:00,MLTRADER,b38aad4f4070498592c2b925e0d6aac2,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-07-17 09:30:00-04:00,MLTRADER,3c989cabb3414cd0abb2130a6c6e15e6,SPY,buy,stop,fill,1,day,0.0,1,stock,436.010009765625,121.0,0.0
2022-01-21 09:30:00-05:00,MLTRADER,ebd1e10f1c1e48feb8f503c91747eff9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTRADER,ebd1e10f1c1e48feb8f503c91747eff9,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,118.0,0.0
2022-01-22 09:30:00-05:00,MLTRADER,981c7882dee64b8fb8aeaaa4e1a0bd57,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-01-22 09:30:00-05:00,MLTRADER,38e3b0ee099543628b7614c5c4f408ac,SPY,buy,stop,fill,1,day,0.0,1,stock,445.55999755859375,118.0,0.0
2022-03-04 09:30:00-05:00,MLTRADER,1be8bc36c8574a4a893e82381214e672,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTRADER,1be8bc36c8574a4a893e82381214e672,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,122.0,0.0
2022-03-05 09:30:00-05:00,MLTRADER,16f78240e0e44eb5a69dd80d6e372e77,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-05 09:30:00-05:00,MLTRADER,4a1e30090c274a4896c4e17867108106,SPY,buy,stop,fill,1,day,0.0,1,stock,431.75,122.0,0.0
2022-03-18 09:30:00-04:00,MLTRADER,b8f0531f7c38465c868707f16a06eb4b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTRADER,b8f0531f7c38465c868707f16a06eb4b,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,120.0,0.0
2022-03-19 09:30:00-04:00,MLTRADER,de367e90bf8a401dafda38ac6e65f15f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-19 09:30:00-04:00,MLTRADER,31ceaabe2ada4e67896d7b1cdfa44e34,SPY,buy,stop,fill,1,day,0.0,1,stock,438.0,120.0,0.0
2022-03-24 09:30:00-04:00,MLTRADER,eaa01915194f4867873574409b7a1e99,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTRADER,eaa01915194f4867873574409b7a1e99,SPY,sell,market,fill,1,gtc,0.0,1,stock,451.1600036621094,117.0,0.0
2022-03-25 09:30:00-04:00,MLTRADER,e0311fe8c9e741febeeb402374969c83,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-25 09:30:00-04:00,MLTRADER,f25c0b09270c4bd5872dc8f186349fb9,SPY,buy,stop,fill,1,day,0.0,1,stock,451.1600036621094,117.0,0.0
2022-04-22 09:30:00-04:00,MLTRADER,098efc0b1d7045e38c0d606b00248845,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTRADER,098efc0b1d7045e38c0d606b00248845,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,121.0,0.0
2022-04-23 09:30:00-04:00,MLTRADER,341cad4caf1744ca8368b03da71d99e6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-23 09:30:00-04:00,MLTRADER,17ba98cfbe3c467d8a960a75a9912760,SPY,buy,stop,fill,1,day,0.0,1,stock,436.9100036621094,121.0,0.0
2022-04-27 09:30:00-04:00,MLTRADER,65421e8bd0ea4b41923c6b9c0b89fb52,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTRADER,65421e8bd0ea4b41923c6b9c0b89fb52,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,125.0,0.0
2022-04-28 09:30:00-04:00,MLTRADER,140f83d5b2864f70903589be61d8f719,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
