time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTRADER,5992aa69189e4bd086913206ec904b07,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTRADER,5992aa69189e4bd086913206ec904b07,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-04 09:30:00-05:00,MLTRADER,154a91cbfce142b5ac99c6fe71e568de,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-04 09:30:00-05:00,MLTRADER,00542f9293f2446695a831fcb99a19ee,SPY,buy,stop,fill,1,day,0.0,1,stock,328.07000732421875,155.0,0.0
2020-02-10 09:30:00-05:00,MLTRADER,73ef8e6a52964b55bf7a4ca7bec867c4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTRADER,73ef8e6a52964b55bf7a4ca7bec867c4,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,150.0,0.0
2020-02-11 09:30:00-05:00,MLTRADER,7402b3347eb944aa9bf7bb8555b3ce44,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-11 09:30:00-05:00,MLTRADER,3dd93c0e3cad4f158feac60c5d6fb79e,SPY,buy,stop,fill,1,day,0.0,1,stock,336.1600036621094,150.0,0.0
2020-02-13 09:30:00-05:00,MLTRADER,00306f1fe1c2427abb612c64f287eb61,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTRADER,00306f1fe1c2427abb612c64f287eb61,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,147.0,0.0
2020-02-14 09:30:00-05:00,MLTRADER,1db261989f224e629543992aa3779da3,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-14 09:30:00-05:00,MLTRADER,5b71b34ef6d34baaac3dc57aec47ff64,SPY,buy,stop,fill,1,day,0.0,1,stock,337.510009765625,147.0,0.0
2020-03-06 09:30:00-05:00,MLTRADER,559d546f95914f66afdee58e17e6cc80,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTRADER,559d546f95914f66afdee58e17e6cc80,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-07 09:30:00-05:00,MLTRADER,c7c5a139e842407b909a90fbd1c48bb9,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-07 09:30:00-05:00,MLTRADER,7c3b41c071ea4f80b1cc384d3808c6df,SPY,buy,stop,fill,1,day,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-09 09:30:00-04:00,MLTRADER,c02065c519f5498d9f8c8b02f2a1dc5b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTRADER,c02065c519f5498d9f8c8b02f2a1dc5b,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,173.0,0.0
2020-03-10 09:30:00-04:00,MLTRADER,80f8a00c484a48a89932322ca4c81257,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-10 09:30:00-04:00,MLTRADER,d4a8133c8e8744f992498a370af842c4,SPY,buy,stop,fill,1,day,0.0,1,stock,280.70001220703125,173.0,0.0
2020-04-13 09:30:00-04:00,MLTRADER,003183558bd449c0ba49c9db6f65dd91,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTRADER,003183558bd449c0ba49c9db6f65dd91,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,176.0,0.0
2020-04-14 09:30:00-04:00,MLTRADER,e87a5a708e8f4d04af79189f754e92f2,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-14 09:30:00-04:00,MLTRADER,b41478d39dab431ca5a53bab31bc3c73,SPY,buy,stop,fill,1,day,0.0,1,stock,277.57000732421875,176.0,0.0
2020-04-27 09:30:00-04:00,MLTRADER,9f493dc9c30249ca97f8ec35f7bebefa,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTRADER,9f493dc9c30249ca97f8ec35f7bebefa,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,171.0,0.0
2020-05-13 09:30:00-04:00,MLTRADER,554d097a133f4b158e537552a371d12c,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,MLTRADER,7e1b4b68318649f3a14a459d17db06dd,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,171.0,0.0
2020-06-15 09:30:00-04:00,MLTRADER,316eae376e0a4f5b8cea048036ae7a63,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTRADER,316eae376e0a4f5b8cea048036ae7a63,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,154.0,0.0
2020-06-16 09:30:00-04:00,MLTRADER,4f5748751a3c4c96a94de4aefee1d457,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,MLTRADER,d80e990bcd2f461693f8ef5375bfa299,SPY,buy,stop,fill,1,day,0.0,1,stock,314.07000732421875,154.0,0.0
2020-06-22 09:30:00-04:00,MLTRADER,66e8aee2bc4145a9abb1e1f792ffe10a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTRADER,66e8aee2bc4145a9abb1e1f792ffe10a,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,155.0,0.0
2020-06-23 09:30:00-04:00,MLTRADER,54d7e1fbfd614b9389efa53060bac74b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-23 09:30:00-04:00,MLTRADER,553774bd5ebf42909b7024786aaa8e6b,SPY,buy,stop,fill,1,day,0.0,1,stock,309.8399963378906,155.0,0.0
2020-06-25 09:30:00-04:00,MLTRADER,a07a4e54178d4df7aa1a8ebc7266f807,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTRADER,a07a4e54178d4df7aa1a8ebc7266f807,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,160.0,0.0
2020-08-05 09:30:00-04:00,MLTRADER,19b1a099dd4b4c188d1fb7fd3af96d57,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTRADER,19b1a099dd4b4c188d1fb7fd3af96d57,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,74.0,0.0
2020-09-14 09:30:00-04:00,MLTRADER,7ca7bc01dc464de387770562525d4769,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,c7394abb278a43c29a474bf232c220a6,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,de0279cb2d6f47c6a7e0a37d11611def,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,263b83e357d1490d8fcd42d5aeddbe92,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,9626782b805041df88d5b962912464b4,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,0fad8c41b8764689a5d2ea2886f099c8,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,9626782b805041df88d5b962912464b4,SPY,sell,market,fill,1,day,0.0,1,stock,341.1199951171875,234.0,0.0
2020-09-14 09:30:00-04:00,MLTRADER,0fad8c41b8764689a5d2ea2886f099c8,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.1199951171875,36.0,0.0
2020-09-15 09:30:00-04:00,MLTRADER,8b953bb236134cdfbe630d0f7e92155e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
