time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTRADER,9da7247be33b4f40b1a26dec34649517,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTRADER,9da7247be33b4f40b1a26dec34649517,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-04 09:30:00-05:00,MLTRADER,5ee666347ae641189c2a021d9aa8f10e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-04 09:30:00-05:00,MLTRADER,cf9f9f701dac4dd7acad584f85c27680,SPY,buy,stop,fill,1,day,0.0,1,stock,328.07000732421875,155.0,0.0
2020-02-10 09:30:00-05:00,MLTRADER,91dfa47de898430e985a70f7d971b1e9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTRADER,91dfa47de898430e985a70f7d971b1e9,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,150.0,0.0
2020-02-11 09:30:00-05:00,MLTRADER,6c7db71e470e4903a66a7b1d4561167e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-11 09:30:00-05:00,MLTRADER,a010ff04d31142e7ae85e17e10a98f32,SPY,buy,stop,fill,1,day,0.0,1,stock,336.1600036621094,150.0,0.0
2020-02-13 09:30:00-05:00,MLTRADER,e5476b5c12994afa9d6edd257d03d3ca,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTRADER,e5476b5c12994afa9d6edd257d03d3ca,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,147.0,0.0
2020-02-14 09:30:00-05:00,MLTRADER,4d3eb472a05a4006b4bddfff6368eec5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-14 09:30:00-05:00,MLTRADER,2d9e4659432d41aaaa97946539507c08,SPY,buy,stop,fill,1,day,0.0,1,stock,337.510009765625,147.0,0.0
2020-03-06 09:30:00-05:00,MLTRADER,70c58b02557b4dd6896b7076427ecb7f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTRADER,70c58b02557b4dd6896b7076427ecb7f,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-07 09:30:00-05:00,MLTRADER,ccb6ce249139421caedfce663d27be73,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-07 09:30:00-05:00,MLTRADER,303fd7c90c7542edb880c3671ea82d5b,SPY,buy,stop,fill,1,day,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-09 09:30:00-04:00,MLTRADER,846b6e1f38d04f3c8426fa8b3afda53e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTRADER,846b6e1f38d04f3c8426fa8b3afda53e,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,173.0,0.0
2020-03-10 09:30:00-04:00,MLTRADER,48bb4b54b2284db6898c612d30a4e79c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-10 09:30:00-04:00,MLTRADER,6266c11ef65f4f4194ae97a9d8542435,SPY,buy,stop,fill,1,day,0.0,1,stock,280.70001220703125,173.0,0.0
2020-04-13 09:30:00-04:00,MLTRADER,e149b152dc9d4007a6a2be98f8fce10f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTRADER,e149b152dc9d4007a6a2be98f8fce10f,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,176.0,0.0
2020-04-14 09:30:00-04:00,MLTRADER,99b4756a363743b1883bf6c058f14d93,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-14 09:30:00-04:00,MLTRADER,e9e621515581429aa2860dfde188eb78,SPY,buy,stop,fill,1,day,0.0,1,stock,277.57000732421875,176.0,0.0
2020-04-27 09:30:00-04:00,MLTRADER,dff0b49f197f47e9b35f0ca23a99ec48,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTRADER,dff0b49f197f47e9b35f0ca23a99ec48,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,171.0,0.0
2020-05-13 09:30:00-04:00,MLTRADER,4bf23c8322434f9daf8600d5ef67a0b1,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,MLTRADER,926ce86cea6d4b128d577839917f2791,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,171.0,0.0
