time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTRADER,52b8a77fb6c548c4b2b9f6fd36912311,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTRADER,52b8a77fb6c548c4b2b9f6fd36912311,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-04 09:30:00-05:00,MLTRADER,f39405d16ba54cfc9c6bc8ed49f3e75b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-04 09:30:00-05:00,MLTRADER,cd9d79b8aac440daaeec9ed51907f59b,SPY,buy,stop,fill,1,day,0.0,1,stock,328.07000732421875,155.0,0.0
2020-02-10 09:30:00-05:00,MLTRADER,82acf2ea3a7b41099189b7d874d12a66,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTRADER,82acf2ea3a7b41099189b7d874d12a66,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,150.0,0.0
2020-02-11 09:30:00-05:00,MLTRADER,ccb132e1f48945f89a150427e5d78c25,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-11 09:30:00-05:00,MLTRADER,c4445ba7d1914144914d82e563b2fb55,SPY,buy,stop,fill,1,day,0.0,1,stock,336.1600036621094,150.0,0.0
2020-02-13 09:30:00-05:00,MLTRADER,16b8355e7dfb4a1ea5ca0a170a6c5199,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTRADER,16b8355e7dfb4a1ea5ca0a170a6c5199,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,147.0,0.0
2020-02-14 09:30:00-05:00,MLTRADER,b81b27cfbdf74065a36c8956b952efc8,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-14 09:30:00-05:00,MLTRADER,0c2df3e180f04e20a8bdda5f7cde0aed,SPY,buy,stop,fill,1,day,0.0,1,stock,337.510009765625,147.0,0.0
2020-03-06 09:30:00-05:00,MLTRADER,df75f4f3d739497b921ec378fbe0361b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTRADER,df75f4f3d739497b921ec378fbe0361b,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-07 09:30:00-05:00,MLTRADER,0145300b9b7946efab6478cb8f2332a2,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-07 09:30:00-05:00,MLTRADER,6fb07e54d409401484b4f49852f97b1c,SPY,buy,stop,fill,1,day,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-09 09:30:00-04:00,MLTRADER,99ea660696e64c1f96737aef14490f04,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTRADER,99ea660696e64c1f96737aef14490f04,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,173.0,0.0
2020-03-10 09:30:00-04:00,MLTRADER,950da06d298f45e39a1a0e19e95cfea7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-10 09:30:00-04:00,MLTRADER,b7ff3555f0d443009f18d6f9de4baf1e,SPY,buy,stop,fill,1,day,0.0,1,stock,280.70001220703125,173.0,0.0
2020-04-13 09:30:00-04:00,MLTRADER,8c755e76ccf5429a96fab79b04df3c57,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTRADER,8c755e76ccf5429a96fab79b04df3c57,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,176.0,0.0
2020-04-14 09:30:00-04:00,MLTRADER,7c2273ee67264f72bdecb0085b18cb31,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-14 09:30:00-04:00,MLTRADER,b4a6405a0aad4b348d17f2a44551440e,SPY,buy,stop,fill,1,day,0.0,1,stock,277.57000732421875,176.0,0.0
2020-04-27 09:30:00-04:00,MLTRADER,83c69b1b47dc4dd3a659db13664f914d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTRADER,83c69b1b47dc4dd3a659db13664f914d,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,171.0,0.0
2020-05-13 09:30:00-04:00,MLTRADER,40eba67f5f3d4e899e05f3b154491bad,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,MLTRADER,636ab2474dd9472c80770b0a96e6164f,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,171.0,0.0
2020-06-15 09:30:00-04:00,MLTRADER,3138d3c3938b4d87b8f99ed6e304ab03,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTRADER,3138d3c3938b4d87b8f99ed6e304ab03,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,154.0,0.0
2020-06-16 09:30:00-04:00,MLTRADER,791f5957f59c4b03bf812ae922285b4b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,MLTRADER,a9e8b33d6ca74e3aa60b86ddcb3a66ec,SPY,buy,stop,fill,1,day,0.0,1,stock,314.07000732421875,154.0,0.0
2020-06-22 09:30:00-04:00,MLTRADER,c49326d77b904a0cb33620cca505f05b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTRADER,c49326d77b904a0cb33620cca505f05b,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,155.0,0.0
2020-06-23 09:30:00-04:00,MLTRADER,b46ff50a5e14498e8ee0efa730efeb42,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-23 09:30:00-04:00,MLTRADER,bcc202ab61ee4d42b167fea7f7379885,SPY,buy,stop,fill,1,day,0.0,1,stock,309.8399963378906,155.0,0.0
2020-06-25 09:30:00-04:00,MLTRADER,1a919ca54c7d4a1d8f2a69a27fadbca0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTRADER,1a919ca54c7d4a1d8f2a69a27fadbca0,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,160.0,0.0
2020-08-05 09:30:00-04:00,MLTRADER,3996d876189249b8b963607ca01e8b93,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTRADER,3996d876189249b8b963607ca01e8b93,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,74.0,0.0
2020-09-14 09:30:00-04:00,MLTRADER,5ff1ce7053c441a5a9c453de37c04b80,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,71ab3092e1484365bc2e13243608888e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,e9fd498255ec478397bfdd59c7f385e2,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,952ede7ef18349d999e89d9f5b5d0866,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,6bf944728f2a4ce39c62dad5142dcc63,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,efb1eaeffe7b4a2b9eaeaa10a465047d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,6bf944728f2a4ce39c62dad5142dcc63,SPY,sell,market,fill,1,day,0.0,1,stock,341.1199951171875,234.0,0.0
2020-09-14 09:30:00-04:00,MLTRADER,efb1eaeffe7b4a2b9eaeaa10a465047d,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.1199951171875,36.0,0.0
2020-09-15 09:30:00-04:00,MLTRADER,2f256a0fea9d4f1d9407f16c5fe31e84,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTRADER,cf308a56e25d436081ed17b909ee7f0c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTRADER,ee2ca8e105f34df4b50becbcfe61f524,SPY,buy,stop,fill,1,day,0.0,1,stock,341.510009765625,36.0,0.0
2020-09-15 09:30:00-04:00,MLTRADER,2f256a0fea9d4f1d9407f16c5fe31e84,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.510009765625,170.0,0.0
2020-09-16 09:30:00-04:00,MLTRADER,8dfbf0cee8414dc89c7b834ca3fc426a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-09-16 09:30:00-04:00,MLTRADER,471c309c19c44c119146423a1e9a5adf,SPY,buy,stop,fill,1,day,0.0,1,stock,333.55999755859375,170.0,0.0
2021-07-16 09:30:00-04:00,MLTRADER,3952c6d3686c4084abea42131b49395d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTRADER,3952c6d3686c4084abea42131b49395d,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,121.0,0.0
2021-07-17 09:30:00-04:00,MLTRADER,de1ffa80ed8d4b47a885dcfc696a8b38,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-07-17 09:30:00-04:00,MLTRADER,5078d39d19004dc984a6f41289fb5f35,SPY,buy,stop,fill,1,day,0.0,1,stock,436.010009765625,121.0,0.0
2022-01-21 09:30:00-05:00,MLTRADER,4fa278b2e91948b4b74da4d7f58d940d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTRADER,4fa278b2e91948b4b74da4d7f58d940d,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,118.0,0.0
2022-01-22 09:30:00-05:00,MLTRADER,4b45b3e737cb4006b24f13f805014a65,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-01-22 09:30:00-05:00,MLTRADER,2356bf26bd2141cc89f15ffe4482ae6b,SPY,buy,stop,fill,1,day,0.0,1,stock,445.55999755859375,118.0,0.0
2022-03-04 09:30:00-05:00,MLTRADER,13ea1ce7557547378fbd1b80c25803fe,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTRADER,13ea1ce7557547378fbd1b80c25803fe,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,122.0,0.0
2022-03-05 09:30:00-05:00,MLTRADER,5f4dedf16df44ff287fb6a144c2bb330,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-05 09:30:00-05:00,MLTRADER,6614230e27b34130984e4d2d3df2ca32,SPY,buy,stop,fill,1,day,0.0,1,stock,431.75,122.0,0.0
2022-03-18 09:30:00-04:00,MLTRADER,e7dfccd1eb72423698faf39eced8d482,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTRADER,e7dfccd1eb72423698faf39eced8d482,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,120.0,0.0
2022-03-19 09:30:00-04:00,MLTRADER,61c7bdf4b35640d6a5f15baec56c1640,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-19 09:30:00-04:00,MLTRADER,a72b44660896443e8f2da5d42a27cbfe,SPY,buy,stop,fill,1,day,0.0,1,stock,438.0,120.0,0.0
2022-03-24 09:30:00-04:00,MLTRADER,f6fc36c8fd00453282bf9cacf9a5de06,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
