Metric,SPY,Strategy
Risk-Free Rate,5.12%,5.12%
Time in Market,69.0%,9.0%
,,
Total Return,82%,2%
CAGR% (Annual Return),14.32%,0.46%
,,
Sharpe,0.5,-1.24
RoMaD,0.43,0.06
Corr to Benchmark,1.0,0.15
Prob. Sharpe Ratio,30.02%,4.0%
Smart Sharpe,0.5,-1.23
Sortino,0.69,-1.61
Smart Sortino,0.69,-1.61
Sortino/√2,0.49,-1.14
Smart Sortino/√2,0.49,-1.14
Omega,0.63,0.63
,,
Max Drawdown,-33.68%,-8.08%
Longest DD Days,708,1428
Volatility (ann.),21.64%,3.62%
R^2,0.02,0.02
Information Ratio,-0.04,-0.04
Calmar,0.43,0.06
Skew,-0.59,-2.12
Kurtosis,17.48,44.47
,,
Expected Daily%,0.04%,0.0%
Expected Monthly%,1.12%,0.04%
Expected Yearly%,12.77%,0.41%
Daily Value-at-Risk,-1.82%,-0.31%
Expected Shortfall (cVaR),-1.82%,-0.31%
,,
MTD,1.0%,0.0%
3M,8.34%,0.3%
6M,12.93%,1.74%
YTD,17.28%,1.12%
1Y,22.03%,1.72%
3Y (ann.),8.65%,-1.13%
5Y (ann.),14.32%,0.46%
10Y (ann.),14.32%,0.46%
All-time (ann.),14.32%,0.46%
,,
Best Day,9.06%,1.47%
Worst Day,-10.94%,-2.12%
Best Month,12.7%,5.22%
Worst Month,-12.44%,-4.55%
Best Year,28.77%,5.51%
Worst Year,-18.16%,-5.27%
,,
Avg. Drawdown,-1.99%,-1.76%
Avg. Drawdown Days,19,176
Recovery Factor,2.1,0.29
Ulcer Index,0.1,0.04
Serenity Index,0.41,-0.02
,,
Avg. Up Month,4.68%,1.75%
Avg. Down Month,-6.84%,-1.54%
Win Days,891.24,892.35
Loss Days,748.76,747.65
Win Days%,54.34%,54.41%
Win Month%,66.67%,42.86%
Win Quarter%,73.68%,36.36%
Win Year%,80.0%,75.0%
,,
Beta,-,0.03
Alpha,-,0.0
Correlation,-,15.08%
Treynor Ratio,-,-120.61%
