time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTRADER,64fdb6f379b2411297acaffce89f582c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTRADER,64fdb6f379b2411297acaffce89f582c,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-04 09:30:00-05:00,MLTRADER,b56cee18174146ed96ea0466c39a1fc5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-04 09:30:00-05:00,MLTRADER,59ddd1aacbe449db88423ead9a743cf5,SPY,buy,stop,fill,1,day,0.0,1,stock,328.07000732421875,155.0,0.0
2020-02-10 09:30:00-05:00,MLTRADER,3b58cc75ebbf4b77b1ec52df06271347,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTRADER,3b58cc75ebbf4b77b1ec52df06271347,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,150.0,0.0
2020-02-11 09:30:00-05:00,MLTRADER,9cff7d326cf54f26b633825312566497,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-11 09:30:00-05:00,MLTRADER,fcd41aa785fe40efa5b00c18a52ac909,SPY,buy,stop,fill,1,day,0.0,1,stock,336.1600036621094,150.0,0.0
2020-02-13 09:30:00-05:00,MLTRADER,93179ab16106409aa0a9474c4b680aba,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTRADER,93179ab16106409aa0a9474c4b680aba,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,147.0,0.0
2020-02-14 09:30:00-05:00,MLTRADER,c8557f6b5e7148a98ba7f29a276b6397,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-14 09:30:00-05:00,MLTRADER,54b2344b11cd4873ab00eb049edd94ea,SPY,buy,stop,fill,1,day,0.0,1,stock,337.510009765625,147.0,0.0
2020-03-06 09:30:00-05:00,MLTRADER,51ea336270624445a98853b4a1f2dc47,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTRADER,51ea336270624445a98853b4a1f2dc47,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-07 09:30:00-05:00,MLTRADER,9a785b32e3ee42f794feebd708135396,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-07 09:30:00-05:00,MLTRADER,56be49fa5c5646228fdbb337ecd1e0f6,SPY,buy,stop,fill,1,day,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-09 09:30:00-04:00,MLTRADER,6be815e4fda141cc899bdca806c0054f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTRADER,6be815e4fda141cc899bdca806c0054f,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,173.0,0.0
2020-03-10 09:30:00-04:00,MLTRADER,a7c0daa36caa455c878cc85df9eb1719,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-10 09:30:00-04:00,MLTRADER,bde8cc9c97ba40bdb7fdfceb9ec23d0c,SPY,buy,stop,fill,1,day,0.0,1,stock,280.70001220703125,173.0,0.0
2020-04-13 09:30:00-04:00,MLTRADER,5f3e2699e21643c68c6b9bd288aa81c4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTRADER,5f3e2699e21643c68c6b9bd288aa81c4,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,176.0,0.0
2020-04-14 09:30:00-04:00,MLTRADER,ab70b1fd6042429b9951bdbab0b4e890,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-14 09:30:00-04:00,MLTRADER,c69bba0484d54a06afb664d84aa477b6,SPY,buy,stop,fill,1,day,0.0,1,stock,277.57000732421875,176.0,0.0
2020-04-27 09:30:00-04:00,MLTRADER,c277c1b958064018993a9a630398c592,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTRADER,c277c1b958064018993a9a630398c592,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,171.0,0.0
2020-05-13 09:30:00-04:00,MLTRADER,4112b89b5c3d40d38d63dc5e8e8c46b9,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,MLTRADER,61afe738991c40d98bee6a9d1d61e3ed,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,171.0,0.0
2020-06-15 09:30:00-04:00,MLTRADER,5fadf7b2544a4d288aae35344095ca04,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
