Metric,SSNC,Strategy
Risk-Free Rate,5.06%,5.06%
Time in Market,69.0%,6.0%
,,
Total Return,31%,7%
CAGR% (Annual Return),6.95%,1.79%
,,
Sharpe,0.19,-0.81
RoMaD,0.16,0.38
Corr to Benchmark,1.0,0.17
Prob. Sharpe Ratio,12.93%,16.36%
Smart Sharpe,0.18,-0.74
Sortino,0.28,-1.24
Smart Sortino,0.25,-1.13
Sortino/√2,0.19,-0.88
Smart Sortino/√2,0.18,-0.8
Omega,0.71,0.71
,,
Max Drawdown,-44.32%,-4.71%
Longest DD Days,934,985
Volatility (ann.),23.69%,3.81%
R^2,0.03,0.03
Information Ratio,-0.02,-0.02
Calmar,0.16,0.38
Skew,-0.06,1.51
Kurtosis,4.63,61.78
,,
Expected Daily%,0.02%,0.0%
Expected Monthly%,0.55%,0.15%
Expected Yearly%,5.53%,1.43%
Daily Value-at-Risk,-2.01%,-0.32%
Expected Shortfall (cVaR),-2.01%,-0.32%
,,
MTD,-1.86%,0.0%
3M,16.82%,0.0%
6M,18.12%,0.0%
YTD,19.39%,0.0%
1Y,28.37%,0.0%
3Y (ann.),-0.15%,-0.86%
5Y (ann.),6.95%,1.79%
10Y (ann.),6.95%,1.79%
All-time (ann.),6.95%,1.79%
,,
Best Day,6.28%,2.51%
Worst Day,-6.83%,-1.94%
Best Month,17.08%,7.7%
Worst Month,-14.37%,-2.53%
Best Year,27.06%,10.12%
Worst Year,-35.66%,-2.5%
,,
Avg. Drawdown,-5.41%,-1.31%
Avg. Drawdown Days,70,90
Recovery Factor,0.86,1.57
Ulcer Index,0.23,0.03
Serenity Index,0.04,0.03
,,
Avg. Up Month,13.82%,6.59%
Avg. Down Month,-3.59%,-1.54%
Win Days,746.79,773.54
Loss Days,716.21,689.46
Win Days%,51.04%,52.87%
Win Month%,46.94%,50.0%
Win Quarter%,58.82%,66.67%
Win Year%,80.0%,50.0%
,,
Beta,-,0.03
Alpha,-,0.02
Correlation,-,16.98%
Treynor Ratio,-,84.32%
