time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTRADER,8bbc8860cf174561b2c462418c5afd0e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTRADER,8bbc8860cf174561b2c462418c5afd0e,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-04 09:30:00-05:00,MLTRADER,ef107874654e4468bbeb1b17f82e9b95,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-04 09:30:00-05:00,MLTRADER,dc7ff34bb05d4623ba8c07bd61c34b44,SPY,buy,stop,fill,1,day,0.0,1,stock,328.07000732421875,155.0,0.0
2020-02-10 09:30:00-05:00,MLTRADER,d654cf823e63450d863c5c7d382c9237,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTRADER,d654cf823e63450d863c5c7d382c9237,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,150.0,0.0
2020-02-11 09:30:00-05:00,MLTRADER,42f3dd5c168e44d9abe8ba7f2e6f09e7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-11 09:30:00-05:00,MLTRADER,3b1da7d7b9cf4b75a024d53da167d5fd,SPY,buy,stop,fill,1,day,0.0,1,stock,336.1600036621094,150.0,0.0
2020-02-13 09:30:00-05:00,MLTRADER,b9f0706919ea46828890c49a4b7a13b4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTRADER,b9f0706919ea46828890c49a4b7a13b4,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,147.0,0.0
2020-02-14 09:30:00-05:00,MLTRADER,70204b1c43114eacbf711fbbb28dff70,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-14 09:30:00-05:00,MLTRADER,2e37b8caf4ae437eb87ce05fa6254e5e,SPY,buy,stop,fill,1,day,0.0,1,stock,337.510009765625,147.0,0.0
2020-03-06 09:30:00-05:00,MLTRADER,0df9d1d963ce42d6ba522603de47930e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTRADER,0df9d1d963ce42d6ba522603de47930e,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-07 09:30:00-05:00,MLTRADER,5de05bd4d4c54d00ae65cec3296c3d9f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-07 09:30:00-05:00,MLTRADER,7aac2f2f4e494452910613d82105a429,SPY,buy,stop,fill,1,day,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-09 09:30:00-04:00,MLTRADER,6e7d0a18e3bc40c79db46bc7c5e56c26,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTRADER,6e7d0a18e3bc40c79db46bc7c5e56c26,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,173.0,0.0
2020-03-10 09:30:00-04:00,MLTRADER,e804a266affc45ffa2571a679ac99fea,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-10 09:30:00-04:00,MLTRADER,6c9076d018d942a1bc42a099d5ed6417,SPY,buy,stop,fill,1,day,0.0,1,stock,280.70001220703125,173.0,0.0
2020-04-13 09:30:00-04:00,MLTRADER,8f497b4c927245399406fa4ea60784ba,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTRADER,8f497b4c927245399406fa4ea60784ba,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,176.0,0.0
2020-04-14 09:30:00-04:00,MLTRADER,6408ff5131ab4daf8c8420a6f8291ce5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-14 09:30:00-04:00,MLTRADER,03ea4deaa1a94b318a2d4c4c2acbf4db,SPY,buy,stop,fill,1,day,0.0,1,stock,277.57000732421875,176.0,0.0
2020-04-27 09:30:00-04:00,MLTRADER,71e03e3ff20a416085112c26c2053b6e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTRADER,71e03e3ff20a416085112c26c2053b6e,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,171.0,0.0
2020-05-13 09:30:00-04:00,MLTRADER,077620b593694e5ea9ed6e89d1e0e496,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,MLTRADER,3a3ca0d91a254bf0aec68e9bde57f6ee,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,171.0,0.0
2020-06-15 09:30:00-04:00,MLTRADER,a22d3c3628c549d9b5214b5abf47bc30,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTRADER,a22d3c3628c549d9b5214b5abf47bc30,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,154.0,0.0
2020-06-16 09:30:00-04:00,MLTRADER,ca89bd9ccbe74a128d7d153ec4436b6f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,MLTRADER,5eea3d5b6104414687472d532b951772,SPY,buy,stop,fill,1,day,0.0,1,stock,314.07000732421875,154.0,0.0
2020-06-22 09:30:00-04:00,MLTRADER,104f924afb74461198d0ac958c6e89fb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTRADER,104f924afb74461198d0ac958c6e89fb,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,155.0,0.0
2020-06-23 09:30:00-04:00,MLTRADER,e38cd9a8517f48f08423c3be479cd226,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-23 09:30:00-04:00,MLTRADER,f32849dede744905a0a8609b9b912273,SPY,buy,stop,fill,1,day,0.0,1,stock,309.8399963378906,155.0,0.0
2020-06-25 09:30:00-04:00,MLTRADER,da2dda21bddf408686ec3d0bd27430f1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTRADER,da2dda21bddf408686ec3d0bd27430f1,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,160.0,0.0
2020-08-05 09:30:00-04:00,MLTRADER,57cbc50fbc1c4255a972df359cae3431,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTRADER,57cbc50fbc1c4255a972df359cae3431,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,74.0,0.0
2020-09-14 09:30:00-04:00,MLTRADER,2345aed8ea7d48f7bdda5de6d44e3a73,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,89ee10d905324e31a1e5619b4c458481,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,814b24d6756f4579b25e94d4f499d693,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,8d72e9275b964095b4abf82e617b4d2f,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,986abe33d4514e47b32095feb4e7b7ee,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,35032af119c94a8a9fad0287a6463c7e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,986abe33d4514e47b32095feb4e7b7ee,SPY,sell,market,fill,1,day,0.0,1,stock,341.1199951171875,234.0,0.0
2020-09-14 09:30:00-04:00,MLTRADER,35032af119c94a8a9fad0287a6463c7e,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.1199951171875,36.0,0.0
2020-09-15 09:30:00-04:00,MLTRADER,f6911b330f894223b94b345a2d772bf3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTRADER,82ec39db6f44440d8b834b49c5c9d8da,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTRADER,b834cf67b51b4b60b571b5c32336f31c,SPY,buy,stop,fill,1,day,0.0,1,stock,341.510009765625,36.0,0.0
2020-09-15 09:30:00-04:00,MLTRADER,f6911b330f894223b94b345a2d772bf3,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.510009765625,170.0,0.0
2020-09-16 09:30:00-04:00,MLTRADER,e52fb5066962422ab4d5eefb736e502a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-09-16 09:30:00-04:00,MLTRADER,0e8c21ea05994f87a22e49ae40344af3,SPY,buy,stop,fill,1,day,0.0,1,stock,333.55999755859375,170.0,0.0
2021-07-16 09:30:00-04:00,MLTRADER,0ff3a343356d420ca17f0129a83d1601,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTRADER,0ff3a343356d420ca17f0129a83d1601,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,121.0,0.0
2021-07-17 09:30:00-04:00,MLTRADER,d827fe03b6bb4850be045e7b6defaf00,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-07-17 09:30:00-04:00,MLTRADER,4aa5fb7a694a4ccd8783c6bd2ee109f0,SPY,buy,stop,fill,1,day,0.0,1,stock,436.010009765625,121.0,0.0
