time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-08-01 09:30:00-04:00,MLTRADER,f56e87ed0be145f38bfdd4c48a9e9c73,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTRADER,f56e87ed0be145f38bfdd4c48a9e9c73,SPY,sell,market,fill,1,gtc,0.0,1,stock,456.2699890136719,110.0,0.0
2023-08-02 09:30:00-04:00,MLTRADER,681602a1e6ee448886390bbe81c9d84c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-08-02 09:30:00-04:00,MLTRADER,825ce42902ad478e8f587a6ef8b18309,SPY,buy,stop,fill,1,day,0.0,1,stock,453.25,110.0,0.0
2023-08-11 09:30:00-04:00,MLTRADER,191c9c44640248f4979610567755bc71,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTRADER,191c9c44640248f4979610567755bc71,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,113.0,0.0
2023-08-12 09:30:00-04:00,MLTRADER,53b34b5e585d4f28adad6df94a57714b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-08-12 09:30:00-04:00,MLTRADER,a964552cc98143f3bce158c3febb15c3,SPY,buy,stop,fill,1,day,0.0,1,stock,443.9700012207031,113.0,0.0
2023-08-21 09:30:00-04:00,MLTRADER,2daa3f24e69b4422bbf446f6a3377c8b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTRADER,2daa3f24e69b4422bbf446f6a3377c8b,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.54998779296875,115.0,0.0
2023-08-22 09:30:00-04:00,MLTRADER,719941cf7f644831bb7361a3802ba55e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-08-22 09:30:00-04:00,MLTRADER,3ea0b9084c394959ab8c72fbad6ef03a,SPY,buy,stop,fill,1,day,0.0,1,stock,441.17999267578125,115.0,0.0
2023-09-08 09:30:00-04:00,MLTRADER,5219c98ce8634319986c68637c1072b2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTRADER,5219c98ce8634319986c68637c1072b2,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,112.0,0.0
2023-09-09 09:30:00-04:00,MLTRADER,f9d9b69bcea148568617086f046a5622,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-09-09 09:30:00-04:00,MLTRADER,fec5f9e339b34439a5e7d48b79822063,SPY,buy,stop,fill,1,day,0.0,1,stock,444.8999938964844,112.0,0.0
2023-11-02 09:30:00-04:00,MLTRADER,ef0cc5bd849f4d05b8ea16dac388cb74,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
