time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-08-01 09:30:00-04:00,MLTRADER,9b01ca5100784c69a62f1a58c92fbf3e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTRADER,9b01ca5100784c69a62f1a58c92fbf3e,SPY,sell,market,fill,1,gtc,0.0,1,stock,456.2699890136719,110.0,0.0
2023-08-02 09:30:00-04:00,MLTRADER,555841b641d54e8bba979ac7556f8c49,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-08-02 09:30:00-04:00,MLTRADER,4bbf4e5cf80949f88925c8575019560c,SPY,buy,stop,fill,1,day,0.0,1,stock,453.25,110.0,0.0
2023-08-11 09:30:00-04:00,MLTRADER,b7d8c0da770f4b579f184db737d9ca38,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTRADER,b7d8c0da770f4b579f184db737d9ca38,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,113.0,0.0
2023-08-12 09:30:00-04:00,MLTRADER,b808c940cb574dbc98d49fc8c1fd7dfe,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-08-12 09:30:00-04:00,MLTRADER,17d9e73b422548f9a98f8af0d316aed1,SPY,buy,stop,fill,1,day,0.0,1,stock,443.9700012207031,113.0,0.0
2023-08-21 09:30:00-04:00,MLTRADER,ca1c73788c73441db96e504156531ac7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTRADER,ca1c73788c73441db96e504156531ac7,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.54998779296875,115.0,0.0
2023-08-22 09:30:00-04:00,MLTRADER,a0b89cf0cf8f42698f7a4f24277e7aa6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-08-22 09:30:00-04:00,MLTRADER,505e6d2ec0f44d0583038e2b09a12ba6,SPY,buy,stop,fill,1,day,0.0,1,stock,441.17999267578125,115.0,0.0
2023-09-08 09:30:00-04:00,MLTRADER,d42a395d8e0c479a917871f8a3fb5800,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTRADER,d42a395d8e0c479a917871f8a3fb5800,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,112.0,0.0
2023-09-09 09:30:00-04:00,MLTRADER,739880b5dcb540efabac584367bf4f78,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
