time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-08-01 09:30:00-04:00,MLTRADER,84fd8190efb44ab88f218b7d3040a850,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTRADER,84fd8190efb44ab88f218b7d3040a850,SPY,sell,market,fill,1,gtc,0.0,1,stock,456.2699890136719,110.0,0.0
2023-08-02 09:30:00-04:00,MLTRADER,61db088da33143d29824b4a077279396,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-08-02 09:30:00-04:00,MLTRADER,ecb1e747e0e34ec786670b2a3a4a6d88,SPY,buy,stop,fill,1,day,0.0,1,stock,453.25,110.0,0.0
2023-08-11 09:30:00-04:00,MLTRADER,84ff0811c53543f59f54fe89b85f6a89,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTRADER,84ff0811c53543f59f54fe89b85f6a89,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,113.0,0.0
2023-08-12 09:30:00-04:00,MLTRADER,d396085c767540e1b3f0f9cd6c556fb5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-08-12 09:30:00-04:00,MLTRADER,7643f2d3a9cf40d3855ee0f3faa1fb47,SPY,buy,stop,fill,1,day,0.0,1,stock,443.9700012207031,113.0,0.0
2023-08-21 09:30:00-04:00,MLTRADER,e11aadb6403944818413eeb7e09398f1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTRADER,e11aadb6403944818413eeb7e09398f1,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.54998779296875,115.0,0.0
2023-08-22 09:30:00-04:00,MLTRADER,52062345f7874e7fad5f33ce791d4b51,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-08-22 09:30:00-04:00,MLTRADER,f71ea93048a34bfbac3a955cc65ea39e,SPY,buy,stop,fill,1,day,0.0,1,stock,441.17999267578125,115.0,0.0
2023-09-08 09:30:00-04:00,MLTRADER,ec3e815058234f2fbeaf94eaf03acafe,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTRADER,ec3e815058234f2fbeaf94eaf03acafe,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,112.0,0.0
2023-09-09 09:30:00-04:00,MLTRADER,308441a24c9e48fa881ea4696d8e8c70,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-09-09 09:30:00-04:00,MLTRADER,67ba5c584a8345d5989f2653f4ba4bec,SPY,buy,stop,fill,1,day,0.0,1,stock,444.8999938964844,112.0,0.0
2023-11-02 09:30:00-04:00,MLTRADER,7c4e6452e6ee4557aca0dd8ff9e0fa59,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTRADER,7c4e6452e6ee4557aca0dd8ff9e0fa59,SPY,sell,market,fill,1,gtc,0.0,1,stock,426.5799865722656,117.0,0.0
2023-11-03 09:30:00-04:00,MLTRADER,454e5ea57ca146c481f33133be16ef87,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-03 09:30:00-04:00,MLTRADER,b1ff0e8f17d04690924d6009f59e2b4a,SPY,buy,stop,fill,1,day,0.0,1,stock,433.1400146484375,117.0,0.0
2023-11-13 09:30:00-05:00,MLTRADER,386a194ac78f447f9b6a7eb51c1445d2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTRADER,386a194ac78f447f9b6a7eb51c1445d2,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,113.0,0.0
