time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-08-01 09:30:00-04:00,MLTRADER,83d08539b8b9463db435180962975da2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTRADER,83d08539b8b9463db435180962975da2,SPY,sell,market,fill,1,gtc,0.0,1,stock,456.2699890136719,110.0,0.0
2023-08-02 09:30:00-04:00,MLTRADER,7234906a5f764c7f86e8769a57515903,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-08-02 09:30:00-04:00,MLTRADER,a8dec91d18f24e8d84409d19511c00e5,SPY,buy,stop,fill,1,day,0.0,1,stock,453.25,110.0,0.0
2023-08-11 09:30:00-04:00,MLTRADER,869bffb3d56243ce8aa32ffe831f7837,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTRADER,869bffb3d56243ce8aa32ffe831f7837,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,113.0,0.0
2023-08-12 09:30:00-04:00,MLTRADER,c48a2b94299648e6aef2e8342bf864c5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-08-12 09:30:00-04:00,MLTRADER,e8e01da648364f82b7f93651a776db65,SPY,buy,stop,fill,1,day,0.0,1,stock,443.9700012207031,113.0,0.0
2023-08-21 09:30:00-04:00,MLTRADER,4234f3c995f8493ea9e1ce14d5a9160e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTRADER,4234f3c995f8493ea9e1ce14d5a9160e,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.54998779296875,115.0,0.0
2023-08-22 09:30:00-04:00,MLTRADER,ca80459fd3ac4632beb0bfe2fe4bfd45,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-08-22 09:30:00-04:00,MLTRADER,c9ce0fd60b8e4d1e9fd110cb5eed6b5e,SPY,buy,stop,fill,1,day,0.0,1,stock,441.17999267578125,115.0,0.0
2023-09-08 09:30:00-04:00,MLTRADER,7b8eecf9dd6b4220b7adb1b76f07c985,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTRADER,7b8eecf9dd6b4220b7adb1b76f07c985,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,112.0,0.0
2023-09-09 09:30:00-04:00,MLTRADER,86b3d2cabd764ecab2641b7eac091a33,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-09-09 09:30:00-04:00,MLTRADER,9a4874fb6bc24bf5af81fd1a5b1803ae,SPY,buy,stop,fill,1,day,0.0,1,stock,444.8999938964844,112.0,0.0
2023-11-02 09:30:00-04:00,MLTRADER,bd6baee4dac14d6794fb08835e1d4741,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTRADER,bd6baee4dac14d6794fb08835e1d4741,SPY,sell,market,fill,1,gtc,0.0,1,stock,426.5799865722656,117.0,0.0
2023-11-03 09:30:00-04:00,MLTRADER,18dab06b411b4bedbe6914baba99445c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-03 09:30:00-04:00,MLTRADER,36ad631f7c5b4d70849705974a807cd0,SPY,buy,stop,fill,1,day,0.0,1,stock,433.1400146484375,117.0,0.0
2023-11-13 09:30:00-05:00,MLTRADER,9b751af60803430bbd701f1d5f2fd7b2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTRADER,9b751af60803430bbd701f1d5f2fd7b2,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,113.0,0.0
2023-11-14 09:30:00-05:00,MLTRADER,d86360602baa463dbbc5a11b309a6070,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
